"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"-","","-","Open Tender","","PROCUREMENT OF OFFICE FURNITURE FOR CPC, KUMASI","Entity Tender Committee","23rd December, 2014","17th March, 2015","Ghana Cedi","Gh¢91490.16","Yepon Ventures","","","","-"
"-","GR/BOG/GD/0014/2014","NCT","Open Tender","5","Lot 1:Desktop Computers - 400UPS - 400Lot 2:Laptop Computers - 60Lot 3:Laser Printers - VariousLot 4:Scanners - 20Lot 5:Switches and Routers - VariousLot 6:Computer Spares (Storage) - VariousLot 7:Computer Spares - Various","Entity Tender Committee","23rd September, 2014","24th November, 2014","Ghana Cedi","Gh¢660639.73","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"37 Military Hospital","GR/MIE/GD/0011/2012","-","Single Sourced","1","","ETC/PPA","-","12th April, 2012","-","USA Dollar","$4997415.00","AMALGAMTED INVESTMENTS LIMITED","","P.O.BOX AN 19920, ACCRA-NORTH","","-"
"37 Military Hospital","GR/MIE/WK/0009/2012 - LOT 139","-","Single Sourced","1","","ETC/PPA","-","28th December, 2012","-","Ghana Cedi","Gh¢5902761.60","MESSRS PREFOS LIMITED","","P.O.BOX 1609,KUMASI 38TH 24TH FEBRUARY INTER 301 F.N.T AMAKOM-KUMASI TE:+233(0)3236383/39955-6 FAX:+233(0)3236089/24132","","-"
"37 Military Hospital","GR/MIE/WK/0009/2012 - LOT 239","-","Single Sourced","1","","ETC/PPA","-","28th December, 2012","-","Ghana Cedi","Gh¢5835894.00","MESSRS WENDY ROSE LIMITED","","P.O.BOX KS 9391 KUMASI TEL:+233-244376210","","-"
"37 Military Hospital","GR/MIE/WK/0009/2012 - LOT 339","-","Single Sourced","1","","ETC/PPA","-","28th December, 2012","-","Ghana Cedi","Gh¢5750954.31","MESSRS KWANASH ENTERPRISE LIMITED","","P.O.BOX AT 1559 ACHIMOTA ACCRA-NORTH DARKUMAN OFFICIAL TOWN TEL:0302-326546 FAX:0302_326548","","-"
"37 Military Hospital","GR/MS/GDS/0013/2013","-","Single Sourced","1","","Entity Tender Committee","-","03rd July, 2013","04th August, 2013","Ghana Cedi","Gh¢87100.00","TOYOTA GHANA LTD","","P.O.BOX 1644,ACCRA-GHANA","","-"
"37 Military Hospital","GR/UOG/RT/GD/0048/2012","-","Single Sourced","1","","Ministerial Tender Review Committee","-","16th November, 2012","30th March, 2012","Ghana Cedi","Gh¢248500.00","Safeway Printing Works Limited","","P. O. Box 112, Legon","","-"
"37 Military Hospital","MLGRD/EHSU/PMC/RT/001/2011391","-","Single Sourced","1","","Ministerial Tender Review Committee","-","03rd May, 2012","26th June, 2012","Ghana Cedi","Gh¢500000.00","Delovely Company Limited","","P. O. Box 10602, Accra - North","","-"
"37 Military Hospital","QCC-COCOBOD/PU/VEH/2013/02639","-","Single Sourced","1","","Central Tender Review Committee","-","06th November, 2013","01st December, 2013","Ghana Cedi","Gh¢402212.00","TOYOTA (GHANA) COMPANY LIMITED","","P.O. BOX 1644 ACCRA","","-"
"AHAFO ANO SOUTH NORTH","GR/CAGD/GD/0005/14/07","-","Single Sourced","1","","Entity Tender Committee","-","23rd June, 2014","18th August, 2014","Ghana Cedi","Gh¢65050.00","Derisco Company Limited","","Box AT 1426","","-"
"AHAFO ANO SOUTH NORTH","GR/PC/SS/P/01/16","-","Restricted Tender","1","","ETC/PPA","40 (1)a - Proprietary","21st March, 2016","-","USA Dollar","$482505.07","Schlumberger Saeco INC","","P.O. BOX 1654, TAKORADI","","-"
"Abakrampa Senior High Technical School","GR/MDS/GD/0031/2012","-","Single Sourced","1","","Entity Tender Committee","-","19th September, 2012","10th August, 2012","USA Dollar","$24900.00","JAPAN MOTORS TRADING CO. LTD","","P.O. BOX AN 5216 ACCRA -NORTH","","-"
"Academy of Arts and Sciences-Ghana","","-","Open Tender","1(a) (b) (c)","Lot 1 (a) A4 Desk Diaries VIP @ 200 QtyLot 1 (b) A5 Desk Diaries 2014 Day view @ 500QtyLot 1 (c) Pocket Diaries 300","Entity Tender Committee","30th October, 2013","15th November, 2013","Ghana Cedi","Gh¢37100.00","Below The Line","","P. O. Box CT 5744 Accra","","-"
"Academy of Arts and Sciences-Ghana","COCOBOD/FR/HO/PM/BIT.SURF/CR/2014/19","-","Single Sourced","1","","ETC/PPA","-","30th March, 2015","30th October, 2016","Ghana Cedi","Gh¢17202045.68","JILCON LIMITED","","P.O.BOX 6700 ACCRA-NORTH","","-"
"Academy of Arts and Sciences-Ghana","GR/GAAS/GD/03/12","NCT","Open Tender","1,2,3","Lot 1  a. Scanner - 6    b. Laptop - 8    c. LCD Projector - 2    Lot 2:   a. Disc Box - 2     b. Copyholder - 3    Lot 3: Intercom","Entity Tender Committee","19th July, 2012","16th August, 2012","Ghana Cedi","Gh¢30100.00","Beautiful Creations Ltd.","","P.O. Box GP 2821 Accra","","-"
"Academy of Arts and Sciences-Ghana","NULL href=ht","-","Open Tender","","","Entity Tender Committee","18th December, 2012","02nd January, 2013","Ghana Cedi","Gh¢10552.00","M/s Buck Press Ltd.","","P. O. Box AN 12321 Accra - North","","-"
"Accra College Of Education","VR/ACE/GD/12/17","NCT","Open Tender","1,3","Lot 1Tomato pastespaghettiCubeSardineVegetable OilLot 2Milk PowderTea leafRichocoLot 3Powdered Soap","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","","","","","-"
"Accra College Of Education","VR/ACE/GD/12/17","NCT","Open Tender","1,3","Lot 1Tomato pastespaghettiCubeSardineVegetable OilLot 2Milk PowderTea leafRichocoLot 3Powdered Soap","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","TOMARY VENTURES","","P.O BOX KW 311 KETA, VR","","-"
"Accra College Of Education","VR/ACE/GD/12/17","NCT","Open Tender","1A and 3","Lot 1Tomato pastespaghettiCubeSardineVegetable OilLot 2Milk PowderTea leafRichocoLot 3Powdered Soap","Entity Tender Committee","09th March, 2017","10th January, 2018","Ghana Cedi","Gh¢195472.00","TOMARY VENTURES","","P.O BOX KW 311 KETA, VR","","-"
"Accra College Of Education","VR/ACE/GD/12/17","NCT","Open Tender","1B","Lot 1Tomato pastespaghettiCubeSardineVegetable OilLot 2Milk PowderTea leafRichocoLot 3Powdered Soap","HEAD OF ENTITY","09th March, 2017","01st February, 2017","Ghana Cedi","Gh¢66978.98","3Cee's Ventures","","3 Cee's Ventures P.O. BOX DC 191 DANSOMAN ACCRA","","-"
"Accra Metropolitan Assembly","AR/KATH/NCT/GS/007/14","NCT","Open Tender","1","","Entity Tender Committee","27th June, 2014","01st July, 2016","Ghana Cedi","Gh¢10070.00","MABOT SECURITY SERVICES","","ACCRA","","-"
"Accra Metropolitan Assembly","AR/OMA/DDF/NCT/WKS/001/2014","NCT","Open Tender","1","LOCATION: ASAMANKAMA-DUPAUL  BID SECURITY: GHC 4200","Entity Tender Committee","20th March, 2014","20th April, 2014","Ghana Cedi","Gh¢232932.00","Prefos Company Limited","","P. O. Box 1609 Kumasi","","-"
"Accra Metropolitan Assembly","AR/OMA/DDF/NCT/WKS/002/2014","NCT","Open Tender","2","LOCATION: URBAN AREA  BID SECURITY: GHC 640","Entity Tender Committee","20th March, 2014","20th June, 2014","Ghana Cedi","Gh¢26073.10","Joe Asare Construction Company","","P. O. Box UP 792 KNUST Kumasi","","-"
"Accra Metropolitan Assembly","AR/OMA/DDF/NCT/WKS/003/2014","NCT","Open Tender","3","LOCATION: URBAN AREAS  BID SECURITY: GHC 640","Entity Tender Committee","20th March, 2014","20th June, 2014","Ghana Cedi","Gh¢30100.00","Joe Asare Construction Company","","P. O. Box UP 792 KNUST Kumasi","","-"
"Accra Metropolitan Assembly","AR/OMA/DDF/NCT/WKS/004/2014","NCT","Open Tender","4","LOCATION: OFFINSO /OFOUR  BID SECURITY: GHC 650","Entity Tender Committee","20th March, 2014","20th April, 2014","Ghana Cedi","Gh¢42000.00","Asben Engineering and Construction Company Limited","","P. O. Box KS 55 Adum Kumasi","","-"
"Accra Metropolitan Assembly","AWMA/LGCSP-UDG/NCT/WKS/004/2013","NCT","Open Tender","1","LOT 1: Construction of road culverts at Otilmrom, Manhodwe, Asukonteng, Desuenim, Mangoase, Nyamendam and Yaem. Quantity : 8 Delivery Period: 8 months Bid Security: GHÂ¢ 4200  LOT 2: Construction of Storm Drains at Mandela Market, Yarewa Zongo and Old Zongo Quantity : 3 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 3: Construction of Market Open Sheds Quantity : 4 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 4: Supply and Installation of Street Lights  Quantity : 120 Delivery Period: 2 months Bid Security: GHÂ¢ 1000","Entity Tender Committee","18th July, 2013","22nd October, 2014","Ghana Cedi","Gh¢283146.00","M/S Ecilas Limited","","P. O. Box 16569 Accra-North Accra","","-"
"Accra Metropolitan Assembly","AWMA/LGCSP-UDG/NCT/WKS/004/2013","NCT","Open Tender","2","LOT 1: Construction of road culverts at Otilmrom, Manhodwe, Asukonteng, Desuenim, Mangoase, Nyamendam and Yaem. Quantity : 8 Delivery Period: 8 months Bid Security: GHÂ¢ 4200  LOT 2: Construction of Storm Drains at Mandela Market, Yarewa Zongo and Old Zongo Quantity : 3 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 3: Construction of Market Open Sheds Quantity : 4 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 4: Supply and Installation of Street Lights  Quantity : 120 Delivery Period: 2 months Bid Security: GHÂ¢ 1000","Entity Tender Committee","06th May, 2013","22nd October, 2014","Ghana Cedi","Gh¢75925.04","M/s Anastasia Company Ghana Limited","","P. O. Box CT 333 Cantonments Accra","","-"
