"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/WK/0047/2012","NCT","Open Tender","1","Remodeling of the Former Ghana Cooperative Bank, Kwame Nkrumah Avenue (Ground Floor) for SSNIT Branch Office at Accra Central","Entity Tender Committee","14th September, 2012","03rd December, 2013","Ghana Cedi","Gh¢1239142.75","Brushwell Associates Ltd","","P. O. Box DC 439,  Dansoman, Accra","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢40000.00","SANBAO (GH) PHARMACEUTICALS LTD","","SANBAO (GH) PHARMACEUTICALS LTD P. O. BOX CE 12118 COMM 11, TEMA","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0011/2019","NCT","Open Tender","3","Procurement of Core i7 Computers for the University, Under Framework Agreement Contracting.","Central Tender Review Committee","22nd May, 2019","13th September, 2019","Ghana Cedi","Gh¢872883.55","I.T. MARKET LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0011/2019","NCT","Open Tender","2","Procurement of Core i5 Computers for the University, under framework agreement contracting.","Central Tender Review Committee","22nd May, 2019","10th October, 2019","Ghana Cedi","Gh¢5654147.10","I.T. MARKET LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0011/2019","NCT","Open Tender","1","PROCUREMENT OF CORE I3 COMPUTERS FOR THE UNIVERSITY, UNDER FRAMEWORK AGREEMENT CONTRACTING.","Entity Tender Committee","22nd May, 2019","10th October, 2019","Ghana Cedi","Gh¢732916.80","I.T. MARKET LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0033/2019","NCT","Open Tender","1","Procurement of Reagents/Kits for training Students in  Biotechnology, Enzymology/Kinetics, DNA and Genomics Techniques at the College of Science, KNUST.","HEAD OF ENTITY","12th June, 2019","12th December, 2019","Ghana Cedi","Gh¢98583.24","HUGE LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/03","NCT","Open Tender","3","Supply of 4x4 station Wagon","Entity Tender Committee","10th August, 2020","10th October, 2020","Ghana Cedi","Gh¢668708.60","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢76500.00","Palb Pharmaceuticals Ltd","","Box AN 3418, Kaneshie - Accra","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢60760.00","Belshaw Ltd","","Box CE 11542 Tema","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/06","NCT","Open Tender","LOT 6","Printing and supply of 4-Year Bachelor of Education Programmes Second Semester","Central Tender Review Committee","11th February, 2020","02nd March, 2020","Ghana Cedi","Gh¢3454400.00","DERISCO COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/05","NCT","Open Tender","LOT 5","Pinting and supply of 2-Year Post Diploma in Business Programmes, 1-Year Diploma in Education and 1-Year Post Graduate Diploma in Education second Semester Books","Entity Tender Committee","24th January, 2020","13th February, 2020","Ghana Cedi","Gh¢671350.00","DERISCO COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/06/06","NCT","Open Tender","LOT 6","Printing and Supply of Dilopma and Post Graduate Diploma in Education","Central Tender Review Committee","29th August, 2019","10th September, 2019","Ghana Cedi","Gh¢810766.00","DERISCO COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/07","NCT","Open Tender","LOT 7","Supply of Digital Press to the University Printing Press","Entity Tender Committee","11th August, 2020","10th October, 2020","Ghana Cedi","Gh¢250000.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/05","NCT","Open Tender","LOT 5","Supply of A3 Papers to the University Printing Press","Entity Tender Committee","10th August, 2020","09th September, 2020","Ghana Cedi","Gh¢585000.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/02","NCT","Open Tender","LOT 2","Printing and supply of 3-Year Early Childhood Second Semester Books","Entity Tender Committee","24th January, 2020","13th February, 2020","Ghana Cedi","Gh¢308516.33","SAKOA PRESS LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/04","NCT","Open Tender","LOT 4","Printing and Supply of 2-Year Post Diploma in Basic Education and Early Childhood Second Semester Books.","Central Tender Review Committee","11th February, 2020","02nd March, 2020","Ghana Cedi","Gh¢824913.79","SAKOA PRESS LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/02","NCT","Open Tender","LOT 2","Printing and supply of 3-Year Early Childhood Second Semester Books","Entity Tender Committee","24th January, 2020","13th February, 2020","Ghana Cedi","Gh¢308516.33","SAKOA PRESS LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢57750.00","ROCHEFAULD (GH) LTD","","ROCHEFAULD (GH) LTD P. O. BOX CT 5643 ACCRA","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢85270.00","Ernest Chemists Ltd","","P.O.Box 3345 Accra","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢17600.00","Joffass Enterprise","","Box KS 11699, Kumasi","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.5/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢647445.00","Frandak Agency","","P.O.Box 14516 Accra","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0009/2019","NCT","Open Tender","3","Procurement of 50,000 Pcs. Scrolls for the University.","Entity Tender Committee","01st April, 2019","07th August, 2019","Ghana Cedi","Gh¢240000.00","Mr. Quophi Fashions","0","0","0","-"
