"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Controller And Accountant General Department","GR/CAGD/GD/0008/29","-","Restricted Tender","1","PRINTING AND SUPPLY OF MIGRATION CARDS FOR GHANA IMMIGRATION SERVICE.","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","09th July, 2020","19th October, 2020","Ghana Cedi","Gh¢2315599.65","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/10","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH GENERAL COUNTERFOIL RECEIPT (GCR) BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","09th July, 2020","12th December, 2020","Ghana Cedi","Gh¢1750000.00","JAMAD PRINTING PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","PRINTING AND SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS.","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","10th May, 2020","01st May, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/14","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH ID CARDS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","10th July, 2020","10th July, 2020","Ghana Cedi","Gh¢165000.00","MINIPACK PRESS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/13","-","Restricted Tender","1","PRINTING AND SUPPLY OF ENVIRONMENTAL PROTECTION AGENCY (EPA) VALUE BOOKS","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢230990.00","GIGS PUBLICATIONS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/20","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY 'D' FOR 2ND QUARTER","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th September, 2020","Ghana Cedi","Gh¢207380.25","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","05th October, 2020","20th December, 0021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/93","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 1ST QUARTER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","04th May, 2020","04th June, 2020","Ghana Cedi","Gh¢325783.50","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/93","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 1ST QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","04th May, 2020","05th June, 2020","Ghana Cedi","Gh¢325783.50","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/17","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 3RD QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢396697.50","PRIMMOND LIMITED","","","","-"
