"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Ministry of Health","MOH/2012/RT/B.2.1/23/C01","-","Single Sourced","1","","PPA/MTRC","-","06th July, 2012","06th October, 2012","USA Dollar","$410950.00","Ernest Chemist Limited","","","","-"
"Ministry of Health","MOH/2020/DS/A.1.1/208/C01","-","Single Sourced","1","Supply and Installation of Modular Container lab (MCL) BSL 3 and Accessories for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with World Bank Funding (CECR)","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","24th July, 2020","31st December, 2020","USA Dollar","$3604000.00","HERONA COMANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/84/C01","-","Single Sourced","1","Procurement of Medical Equipment Consumables and related Services for the Ministry of Health COVID-19 Emergency Preparedness Response plan with World Bank Funding (CERC)","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","24th July, 2020","27th November, 2020","Ghana Cedi","Gh¢3100815.95","DCL LABORATORY PRODUCT LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2/103/C01","-","Single Sourced","1","Supply of Non-Drug Medical Consumables for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","31st May, 2020","30th September, 2020","Ghana Cedi","Gh¢416260.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
"Ministry of Health","MOH/2020/DS/B.2.5/82/C01","-","Single Sourced","1","Supply of Medical Equipment Consumables and related Services for the Ministry of Health COVID-19 Emergency Preparedness Response plan with World Bank Funding (CERC)","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","25th May, 2020","25th September, 2020","USA Dollar","$5535500.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
"Ministry of Health","MOH/2020/DS/A.1.1/16/C02","-","Single Sourced","2","Supply and Installation of Medical Equipment for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","30th September, 2020","USA Dollar","$550000.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
"Ministry of Health","MOH/2020/DS/A.1.1/102/C01","-","Single Sourced","4-6","Supply and Installation of Medical Equipment for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","25th May, 2020","30th September, 2020","USA Dollar","$9990200.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
"Ministry of Health","MOH/2020/DS/B.2.5/58/C01","-","Single Sourced","1","Supply of Cleaning Equipment and Rubbing Alcohol for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","18th August, 2020","Ghana Cedi","Gh¢1153600.00","ANSELI GHANA LIMITED (Ghana)","anselighana@gmail,com","P.O BOX MB 516, ACCRA","0244407765/0206074522","-"
"Ministry of Health","MOH/2020/DS/B.2.5/92/C01","-","Single Sourced","1","Supply of Veronica Buckets, Paper Towels and Disinfectants for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","20th May, 2020","18th September, 2020","Ghana Cedi","Gh¢906400.00","MAYRIT CUISINES LIMITED (Ghana)","mayritcuisine@gmail.com","P.O BOX KD 726, KANDA-ACCRA","0244260990","-"
"Ministry of Health","MOH/2020/DS/A.1.1/16/C03","-","Single Sourced","3","Supply and Installation of Medical Equipment for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","16th September, 2020","USA Dollar","$4460000.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
